,선명,역명,도로명주소,latlon,name
66,2호선,부암(온종합병원),부산광역시 부산진구 가야대로 지하 719,"(35.1574359013428, 129.050428497747)",2호선 부암(온종합병원)
67,2호선,사상(서부터미널),부산광역시 사상구 사상로 지하 203,"(35.1624645755924, 128.984636635373)",2호선 사상(서부터미널)
68,2호선,서면,부산광역시 부산진구 중앙대로 지하 730,"(35.157764059003, 129.059035752371)",2호선 서면
69,2호선,센텀시티(BEXCO·신세계),부산광역시 센텀남대로 지하 76,"(35.1692784253147, 129.13236458411)",2호선 센텀시티(BEXCO·신세계)
70,2호선,수영,부산광역시 수영구 수영로 지하 677(광안동),"(35.1658917101376, 129.114828522838)",2호선 수영
71,2호선,수정(방송통신대),부산광역시 북구 금곡대로 지하160,"(35.2230835573286, 129.009148601943)",2호선 수정(방송통신대)
72,2호선,양산(시청·동원과학기술대학교),경남 양산시 강변로 441번,"(35.3387402352291, 129.026459983234)",2호선 양산(시청·동원과학기술대학교)
73,2호선,율리,부산광역시 북구 금곡대로 지하440,"(35.2471687881887, 129.012917764141)",2호선 율리
74,2호선,장산(해운대백병원),부산광역시 해운대구 해운대로 지하 820,"(35.1699301998375, 129.176949540393)",2호선 장산(해운대백병원)
75,2호선,전포,부산광역시 부산진구 전포대로 지하 181,"(35.1528347392059, 129.065363249745)",2호선 전포
76,2호선,주례,부산광역시 사상구 가야대로 지하 292,"(35.1505046520611, 129.003137064668)",2호선 주례
77,2호선,중동,부산광역시 해운대구 해운대로 지하 730,"(35.1666522512391, 129.168611487916)",2호선 중동
78,2호선,증산,경남 양산시 물금읍 메기로 168번,"(35.3082462596909, 129.0102778791)",2호선 증산
79,2호선,지게골,부산광역시 남구 수영로 지하 70,"(35.1356276790372, 129.074233626935)",2호선 지게골
80,2호선,해운대,부산광역시 해운대구 해운대로 지하 626,"(35.1636437945006, 129.158873317353)",2호선 해운대
81,2호선,호포,경남 양산시 동면 양산대로 62번,"(35.2810793342617, 129.017243861738)",2호선 호포
82,2호선,화명,부산광역시 북구 금곡대로 지하311,"(35.23580316112, 129.013877205984)",2호선 화명
83,3호선,강서구청,부산광역시 강서구 낙동북로 485,"(35.2112192586654, 128.981959188289)",3호선 강서구청
84,3호선,거제(법원·검찰청),부산광역시 연제구 월드컵대로 지하 209,"(35.1885466882058, 129.073960773744)",3호선 거제(법원·검찰청)
85,3호선,구포,부산광역시 북구 낙동대로 1697,"(35.2066707011261, 128.996412729158)",3호선 구포
86,3호선,남산정(부산폴리텍대학),부산광역시 북구 만덕대로 지하179,"(35.2133300831394, 129.024155946176)",3호선 남산정(부산폴리텍대학)
87,3호선,대저,부산광역시 강서구 낙동북로 295,"(35.2133613094375, 128.961049641838)",3호선 대저
88,3호선,덕천(부산과기대),부산광역시 북구 금곡대로 지하14,"(35.2109774599591, 129.004972165013)",3호선 덕천(부산과기대)
89,3호선,만덕,부산광역시 북구 만덕대로 지하291,"(35.2129568402206, 129.036150805802)",3호선 만덕
90,3호선,망미(병무청),부산광역시 수영구 연수로 지하 337(망미동),"(35.1715290770619, 129.108315182357)",3호선 망미(병무청)
91,3호선,물만골,부산광역시 연제구 월드컵대로 지하 23,"(35.1767585696312, 129.085607407773)",3호선 물만골
92,3호선,미남,부산광역시 동래구 아시아드대로 지하 232,"(35.2055969458619, 129.068122269653)",3호선 미남
