,name,address,latlon
62,국제한방발효박물관,충청북도 제천시 한방엑스포로 19(왕암동),"(37.1437339269959, 128.159762684659)"
63,성남아트센터 큐브미술관,경기도 성남시 분당구 성남대로 808,"(37.4029565748635, 127.130559855569)"
64,국제현대미술관,강원도 영월군 영월읍 삼옥길 31,"(37.2084018247695, 128.506904569716)"
65,신구대학교 식물원 갤러리 우촌,경기도 성남시 수정구 적푸리로 9,"(37.4337294545131, 127.081478435268)"
66,군립청송야송미술관,경상북도 청송군 진보면 경동로 5162,"(36.5058569659782, 129.119201077548)"
67,순성미술관,충청남도 당진시 순성면 순성로 493-12,"(36.8433038863891, 126.712607223368)"
68,설록차전시관,제주특별자치도 서귀포시 안덕면 신화역사로 15,"(33.3059240323368, 126.289492214804)"
69,군산근대역사박물관,전라북도 군산시 해망로 240,"(35.9908190292988, 126.711952267168)"
70,신구대학 우촌박물관,경기도 성남시 중원구 광명로 377,"(37.4488513932536, 127.167696591792)"
71,디자인코리아뮤지엄,경기도 성남시 분당구 양현로322 코리아디자인센터 지하1층,"(37.4131967216789, 127.123286467551)"
72,영동군 향토민속자료전시관,충청북도 영동군 심천면 국악로 18,"(36.2108633361822, 127.705840615696)"
73,군위숭덕박물관,경상북도 군위군 군위읍 동서2길 35,"(36.2339504591495, 128.568840069092)"
74,세계술문화박물관(폐관),충청북도 충주시 중앙탑면 탑정안길 12,"(37.0185292402297, 127.865617791007)"
75,성마루미술관(추가),충청북도 충주시 대소원면 장성길 38-1,"(36.9613638788494, 127.838824966705)"
76,규남박물관,전라남도 화순군 이서면 백아로 3109,"(35.1100728984238, 127.079964777433)"
77,그리스신화박물관,제주특별자치도 제주시 한림읍 광산로 942,"(33.3480861338113, 126.357521258907)"
78,극재미술관,"대구광역시 남구 명덕로 104, 계명대학교 2층 동산관(대명동)","(35.8555231686465, 128.579315744509)"
79,가일미술관,경기도 가평군 청평면 북한강로 1549,"(37.6604164949893, 127.379434404131)"
80,향토민속자료전시관,충청북도 보은군 보은읍 군청길 38,"(36.4897036279608, 127.729748179994)"
81,박물관수,대구광역시 수성구 국채보상로186길 79,"(35.8648286181095, 128.63414856563)"
82,대구은행금융박물관,대구광역시 수성구 달구벌대로 2310,"(35.8593142668444, 128.614946855347)"
83,금산역사문화박물관,충청남도 금산군 금산읍 금산로 1575,"(36.1141038327206, 127.491853050084)"
84,박물관휴르,대구광역시 수성구 국채보상로186길 47,"(35.8660553902106, 128.633230412156)"
85,한신대학교박물관,경기도 오산시 한신대길 137,"(37.1925943198315, 127.027451982136)"
86,유엔군초전기념관,경기도 오산시 경기대로 742,"(37.1846106046729, 127.049013797855)"
87,금산인삼관,충청남도 금산군 금산읍 인삼광장로30,"(36.100015077772, 127.500730281548)"
88,금호미술관,서울특별시 종로구 삼청로 18,"(37.5774667074193, 126.979912833772)"
89,부산광역시 해양자연사박물관,부산광역시 동래구 우장춘로 175(온천동),"(35.2219601060686, 129.07564755144)"
90,제암리 3·1운동 순국기념관,경기도 화성시 향남읍 제암길 50,"(37.1263080924847, 126.891595759381)"
91,기당미술관,제주특별자치도 서귀포시 남성중로 153번길 15,"(33.244797232858, 126.551193443402)"
92,김달진미술자료박물관,서울특별시 종로구 홍지문1길 4,"(37.6000466301122, 126.956659658461)"
93,김만덕기념관,제주특별자치도 제주시 산지로 7(건입동),"(33.5158749758985, 126.530391302407)"
