,지점,도로명주소,latlon
76,김포풍무점,경기 김포시 풍무로 107,"(37.5975378, 126.7223256)"
77,평내호평역점,경기 남양주시 늘을2로 32,"(37.6556538, 127.2440774)"
78,남양주다산점,경기 남양주시 다산순환로 350,"(37.6269182, 127.1473828)"
79,현대프리미엄아울렛스페이스원점,경기 남양주시 다산순환로 50,"(37.615944, 127.1522248)"
80,별내북부점,경기 남양주시 덕송2로10번길 27-6,"(37.66700801, 127.1164476)"
81,남양주도농점,경기 남양주시 도농로 29,"(37.60841525, 127.1568246)"
82,별내미리내마을점,경기 남양주시 별내5로5번길 15,"(37.6503915, 127.1124753)"
83,남양주청학점,경기 남양주시 별내면 청학로중앙길,"(37.7093589, 127.1145528)"
84,남양주별내점,경기 남양주시 별내중앙로 84,"(37.6492326, 127.1213067)"
85,남양주덕소점,경기 남양주시 와부읍 덕소로,"(37.5873698, 127.2090858)"
86,남양주장현점,경기 남양주시 진접읍 장현로,"(37.7175314, 127.1808647)"
87,평내점,경기 남양주시 평내로29번길 49,"(37.6450323, 127.2348544)"
88,남양주화도점,경기 남양주시 화도읍 경춘로,"(37.6698089, 127.3738354)"
89,남양주마석점,경기 남양주시 화도읍 맷돌로91번길,"(37.6590466, 127.3018884)"
90,지행역점,경기 동두천시 지행로 49,"(37.89259238, 127.0527952)"
91,부천역남부점,경기 부천시 경인로 226,"(37.4872182, 126.8186215)"
92,부천타운,경기 부천시 길주로 105,"(37.5062601, 126.7541408)"
93,홈플러스부천상동점,경기 부천시 길주로 118,"(37.506556, 126.7401826)"
94,부천중동점,경기 부천시 길주로 267,"(37.506556, 126.7401826)"
95,롯데백화점중동점,경기 부천시 길주로 300,"(37.506556, 126.7401826)"
96,송내북부점,경기 부천시 부일로 223,"(37.4867576, 126.8142736)"
97,역곡역점,경기 부천시 부일로 729,"(37.4858534, 126.8107786)"
98,부천역사점,경기 부천시 부천로 지하,"(37.48448761, 126.7826673)"
99,부천심곡점,경기 부천시 부천로29번길 7,"(37.48694069, 126.7829957)"
100,부천북부점,경기 부천시 부천로9번길 28,"(37.48547091, 126.7814232)"
101,송내로데오점,경기 부천시 상일로94번길 34,"(37.49006283, 126.7525806)"
102,부천시청역점,경기 부천시 석천로 180,"(37.5033877, 126.7630403)"
103,홈플러스부천여월점,경기 부천시 소사로 663,"(37.4708667, 126.7958041)"
104,부천원종점,경기 부천시 소사로 759,"(37.4708667, 126.7958041)"
105,뉴코아부천점,경기 부천시 송내대로 239,"(37.4869082, 126.7533337)"
106,송내남부역점,경기 부천시 송내대로 35,"(37.4869082, 126.7533337)"
107,부천신중동점,경기 부천시 신흥로 201,"(37.50162998, 126.7762449)"
108,부천오정점,경기 부천시 오정로 250,"(37.5428181, 126.80931)"
109,스타필드시티부천점,경기 부천시 옥길로 1,"(37.46091072, 126.8133773)"
110,부천옥길점,경기 부천시 옥길로 124,"(37.46767621, 126.8231512)"
111,판교유스페이스점,경기 성남시 분당구 대왕판교로,"(37.4051928, 127.1031826)"
112,판교아브뉴프랑점,경기 성남시 분당구 동판교로177번길,"(37.39759869, 127.113761)"
113,2001아울렛분당점,경기 성남시 분당구 미금일로154번길,"(37.34897116, 127.1077844)"
114,판교알파리움점,경기 성남시 분당구 백현동,"(37.3934398, 127.109352)"
115,분당수내점,경기 성남시 분당구 백현로101번길,"(37.3770994, 127.1126207)"
116,분당서현점,경기 성남시 분당구 분당로53번길,"(37.38393415, 127.1223773)"
117,분당타운,경기 성남시 분당구 서현로210번길,"(37.38574984, 127.12415)"
118,분당미금역점,경기 성남시 분당구 성남대로,"(37.35076045, 127.1085406)"
119,미금역사거리점,경기 성남시 분당구 성남대로,"(37.35088897, 127.1092767)"
120,정자역점,경기 성남시 분당구 성남대로331번길,"(37.3653849, 127.1072015)"
121,오리역점,경기 성남시 분당구 성남대로43번길,"(37.3398843, 127.1077742)"
122,야탑광장점,경기 성남시 분당구 성남대로925번길,"(37.41217863, 127.1271975)"
123,분당야탑점,경기 성남시 분당구 성남대로926번길,"(37.41220636, 127.1297008)"
124,서판교점,경기 성남시 분당구 운중로,"(37.3908956, 127.0845108)"
125,판교도서관점,경기 성남시 분당구 운중로243번길,"(37.39073864, 127.0766602)"
126,분당아름마을점,경기 성남시 분당구 판교로,"(37.4032112, 127.1048255)"
127,분당서현로점,경기 성남시 분당구 황새울로359번길,"(37.38807472, 127.1233981)"
128,신흥역점,경기 성남시 수정구 산성대로,"(37.44056846, 127.145688)"
129,세이브존성남점,경기 성남시 수정구 산성대로,"(37.44371078, 127.1536237)"
130,가천대점,경기 성남시 수정구 성남대로,"(37.4420619, 127.1267072)"
131,성남수정점,경기 성남시 수정구 수정로,"(37.4614494, 127.1527455)"
132,태평역점,경기 성남시 수정구 수정로,"(37.4614494, 127.1527455)"
133,위례센터점,경기 성남시 수정구 위례광장로,"(37.4734822, 127.1410634)"
134,성남위례점,경기 성남시 수정구 위례동로,"(37.47305041, 127.1502425)"
135,단대오거리역점,경기 성남시 중원구 산성대로372번길,"(37.44516666, 127.1575165)"
136,성남타운,경기 성남시 중원구 성남대로,"(37.43195638, 127.1294391)"
137,수원금곡점,경기 수원시 권선구 금곡로,"(37.27468294, 126.9536719)"
138,수원호매실점,경기 수원시 권선구 금곡로102번길,"(37.27348661, 126.9417749)"
139,수원탑동점,경기 수원시 권선구 224-1,"(37.2567361, 126.9719715)"
140,수원터미널점,경기 수원시 권선구 덕영대로1201번길,"(0.0, 0.0)"
141,수원아이파크점,경기 수원시 권선구 동수원로177번길,"(0.0, 0.0)"
142,수원권선점,경기 수원시 권선구 동수원로242번길,"(0.0, 0.0)"
143,롯데몰수원점,경기 수원시 권선구 세화로,"(37.2641014, 126.9973705)"
144,수원엘포트몰점,경기 수원시 영통구 광교중앙로,"(37.28705455, 127.0577128)"
145,광교앨리웨이점,경기 수원시 영통구 80,"(0.0, 0.0)"
146,수원경기대점,경기 수원시 영통구 대학로,"(0.0, 0.0)"
147,광교아브뉴프랑점,경기 수원시 영통구 센트럴타운로,"(37.287908, 127.0582179)"
148,수원망포점,경기 수원시 영통구 영통로,"(37.2620433, 127.0769073)"
149,망포역점,경기 수원시 영통구 영통로,"(37.2451631, 127.0554064)"
150,수원영통점,경기 수원시 영통구 청명남로34번길,"(37.2527627, 127.075992)"
151,수원매탄점,경기 수원시 영통구 효원로,"(0.0, 0.0)"
152,수원장안구청사거리점,경기 수원시 장안구 경수대로,"(37.3090883, 126.9950347)"
153,홈플러스북수원점,경기 수원시 장안구 경수대로,"(37.3090883, 126.9950347)"
154,수원정자점,경기 수원시 장안구 대평로,"(37.2956413, 126.9934708)"
155,수원천천점,경기 수원시 장안구 만석로19번길,"(0.0, 0.0)"
156,수원성대점,경기 수원시 장안구 서부로,"(0.0, 0.0)"
157,수원시청역점,경기 수원시 팔달구 권광로,"(37.2643555, 127.0329137)"
158,수원타운,경기 수원시 팔달구 권광로,"(0.0, 0.0)"
159,동수원점,경기 수원시 팔달구 권광로,"(37.2689287, 127.0340987)"
160,수원AK역사점,경기 수원시 팔달구 덕영대로,"(0.0, 0.0)"
161,수원AK타운중앙점,경기 수원시 팔달구 덕영대로,"(0.0, 0.0)"
162,수원중앙점,경기 수원시 팔달구 매산로,"(37.2661663, 127.0009126)"
163,아주대점,경기 수원시 팔달구 아주로,"(0.0, 0.0)"
164,동수원사거리점,경기 수원시 팔달구 중부대로,"(0.0, 0.0)"
165,아주대삼거리점,경기 수원시 팔달구 중부대로,"(0.0, 0.0)"
166,홈플러스동수원점,경기 수원시 팔달구 효원로,"(37.2627048, 127.0301455)"
167,시흥대야점,경기 시흥시 비둘기공원7길 52,"(37.4450386, 126.7936569)"
168,배곧신도시점,경기 시흥시 서울대학로278번길 43-13,"(37.3692258, 126.7301742)"
169,시흥목감점,경기 시흥시 솔고개길 4-3,"(37.382618, 126.8615294)"
170,시흥신천점,경기 시흥시 수인로 3372,"(37.4411153, 126.7843308)"
171,시흥은계점,경기 시흥시 은계번영길 13,"(37.4363551, 126.8019742)"
172,시흥능곡점,경기 시흥시 장현능곡로 192,"(37.3726819, 126.7909524)"
173,시화점,경기 시흥시 중심상가3길 15-1,"(37.3443622, 126.7361553)"
174,시흥장곡점,경기 시흥시 진말로9번길 11,"(37.3782536, 126.7841902)"
175,안산점,경기 안산시 단원구 고잔2길,"(0.0, 0.0)"
176,영진상사(주)/씨제이올리브영안산중앙역점,경기 안산시 단원구 고잔2길,"(0.0, 0.0)"
177,안산중앙역점,경기 안산시 단원구 고잔2길,"(0.0, 0.0)"
178,안산초지점,경기 안산시 단원구 광덕1로,"(0.0, 0.0)"
179,안산고잔광장점,경기 안산시 단원구 광덕3로,"(0.0, 0.0)"
180,안산고잔점,경기 안산시 단원구 광덕대로,"(37.3111597, 126.8307747)"
181,씨제이올리브영(주)안산선부점,경기 안산시 단원구 선부광장1로,"(0.0, 0.0)"
182,안산선부점,경기 안산시 단원구 선부광장1로,"(0.0, 0.0)"
183,안산월피공원점,경기 안산시 상록구 예술광장로,"(0.0, 0.0)"
184,상록수역점,경기 안산시 상록구 용신로,"(0.0, 0.0)"
185,안산한대앞역점,경기 안산시 상록구 중보로,"(0.0, 0.0)"
186,홈플러스안산점,경기 안산시 상록구 충장로,"(37.2851315, 126.8562744)"
187,롯데마트안산점,경기 안산시 상록구 항가울로,"(37.2990584, 126.8453465)"
188,안성공도점,경기 안성시 공도읍 공도2로,"(0.0, 0.0)"
189,스타필드안성점,경기 안성시 공도읍 서동대로,"(37.0056719, 127.1853937)"
190,안성점,경기 안성시 중앙로 391,"(37.0065421, 127.274486)"
191,안양비산점,경기 안양시 동안구 관악대로,"(0.0, 0.0)"
192,뉴코아아울렛평촌점,경기 안양시 동안구 동안로,"(37.3892156, 126.9512141)"
193,안양동편점,경기 안양시 동안구 동편로,"(37.4052373, 126.971484)"
194,범계역사거리점,경기 안양시 동안구 시민대로,"(37.3917766, 126.9529681)"
195,평촌역사거리점,경기 안양시 동안구 시민대로,"(37.3917766, 126.9529681)"
196,평촌점,경기 안양시 동안구 평촌대로,"(37.384149, 126.9603561)"
197,범계타운,경기 안양시 동안구 평촌대로223번길,"(37.390504, 126.9535232)"
198,안양일번가지하상가점,경기 안양시 만안구 만안로,"(0.0, 0.0)"
