,지점,도로명주소,latlon
338,창원소답점,경남 창원시 의창구 읍성로,"(35.2649782, 128.6239362)"
339,창원역점,경남 창원시 의창구 의창대로,"(35.2680076, 128.6404373)"
340,창원유니시티점,경남 창원시 의창구 중동중앙로,"(0.0, 0.0)"
341,창원팔용점,경남 창원시 의창구 팔용로,"(35.256885, 128.6144721)"
342,진해용원점,경남 창원시 진해구 용원로7번길,"(35.1009952, 128.8103188)"
343,진해석동점,경남 창원시 진해구 진해대로,"(35.1152242, 128.8024887)"
344,진해하나로마트점,경남 창원시 진해구 진해대로776번길,"(35.1567756, 128.6986194)"
345,진해충무점,경남 창원시 진해구 충장로,"(35.1529806, 128.679332)"
346,통영죽림점,경남 통영시 광도면 죽림4로,"(0.0, 0.0)"
347,통영무전점,경남 통영시 중앙로 307,"(0.0, 0.0)"
348,함안가야점,경남 함안군 가야읍 가야로,"(35.27866, 128.42542)"
349,홈플러스경산점,경북 경산시 경안로 288,"(35.81568, 128.7389)"
350,영남대점,경북 경산시 대학로 285,"(35.86777, 128.77575)"
351,경산사동점,경북 경산시 백자로 76,"(0.0, 0.0)"
352,경산시장점,경북 경산시 중앙로 78,"(35.8220912, 128.7332011)"
353,대구대학교점,경북 경산시 진량읍 대구대로,"(0.0, 0.0)"
354,경산하양점,경북 경산시 하양읍 하양로,"(35.91423, 128.81966)"
355,홈플러스구미점,경북 구미시 구미대로 174,"(36.118291, 128.3624293)"
356,구미오태점,경북 구미시 금오대로 294-1,"(36.085938, 128.3605491)"
357,구미역점,경북 구미시 문화로 8-1,"(36.12947435, 128.3323412)"
358,구미봉곡점,경북 구미시 봉곡남로 103,"(36.1499614, 128.3135461)"
359,구미확장단지점,경북 구미시 산동읍 신당2로,"(36.1560689, 128.4275981)"
360,구미상모점,경북 구미시 상사서로 55,"(36.0875148, 128.355476)"
361,구미형곡점,경북 구미시 신시로 63,"(36.113289, 128.3395217)"
362,구미옥계점,경북 구미시 옥계북로 27,"(0.0, 0.0)"
363,구미진평점,경북 구미시 인동36길 10,"(36.0925423, 128.4321056)"
364,구미인동점,경북 구미시 인동중앙로1길 26,"(36.1078019, 128.4189259)"
365,김천시청점,경북 김천시 시청로 55,"(36.1630785, 128.1153556)"
366,김천혁신도시점,경북 김천시 혁신3로 5,"(0.0, 0.0)"
367,문경시청점,경북 문경시 당교로 231,"(0.0, 0.0)"
368,상주점,경북 상주시 상산로 273,"(36.3981763, 128.1581772)"
369,안동정하점,경북 안동시 강남5길 5,"(36.5506025, 128.7361582)"
370,안동옥동점,경북 안동시 광명로 177,"(36.5577577, 128.6905016)"
371,안동점,경북 안동시 남문로 22-14,"(36.5648371, 128.7299193)"
372,안동옥동주공점,경북 안동시 옥서로 56,"(0.0, 0.0)"
373,경북영주점,경북 영주시 구성로350번길 29,"(36.8233448, 128.6235776)"
374,경북영주역점,경북 영주시 대학로 35,"(36.8112923, 128.6075137)"
375,경북도청신도시점,경북 예천군 새움3로 30,"(36.5768256, 128.4912061)"
376,칠곡석적점,경북 칠곡군 석적읍 유학로,"(36.0791924, 128.4123174)"
377,경북왜관점,경북 칠곡군 왜관읍 중앙로,"(35.9988235, 128.3974927)"
378,광주하남콜럼버스점,광주 광산구 사암로216번길 38-6,"(35.1623166, 126.8105162)"
379,광주송정역점,광주 광산구 상무대로 207,"(35.1442889, 126.8104721)"
380,광주신가점,광주 광산구 수등로 254,"(35.18494725, 126.836525)"
381,광주신창점,광주 광산구 신창로 125,"(35.19649215, 126.8381897)"
382,메가박스광주첨단점,광주 광산구 앰코로 35,"(35.2218502, 126.852872)"
383,광주선운지구점,광주 광산구 어등대로 418,"(35.1487479, 126.76915)"
384,광주하남2지구점,광주 광산구 용아로399번길 51,"(35.1788021, 126.804705)"
385,광주수완점,광주 광산구 임방울대로 342,"(35.19039035, 126.8242717)"
386,광주장덕점,광주 광산구 장신로 82,"(0.0, 0.0)"
387,광주첨단점,광주 광산구 첨단중앙로 104,"(35.2169596, 126.8410427)"
388,광주봉선삼익점,광주 남구 봉선중앙로 51,"(35.12541955, 126.9111839)"
389,광주진월점,광주 남구 서문대로 687,"(35.1286806, 126.8973009)"
390,광주학동점,광주 동구 남문로 678,"(35.13125285, 126.9293879)"
391,광주엔씨웨이브점,광주 동구 중앙로 163,"(35.1484293, 126.9136826)"
392,광주황금점,광주 동구 중앙로160번길 31-12,"(35.14675395, 126.916633)"
393,광주충장로1가점,광주 동구 충장로 105-1,"(35.1470079, 126.9184619)"
394,광주충장로3가점,광주 동구 충장로 80-16,"(35.1481612, 126.915481)"
395,조선대점,광주 동구 필문대로273번길 10,"(35.14553225, 126.9299734)"
396,광주두암점,광주 북구 갈마로 53,"(35.1616836, 126.9351233)"
397,NC광주역점,광주 북구 경열로 249,"(35.1577644, 126.9058731)"
398,광주문흥점,광주 북구 대천로 140-7,"(35.18659105, 126.9220407)"
399,홈플러스동광주점,광주 북구 동문대로 200,"(35.2067588, 126.9404019)"
400,광주운암점,광주 북구 북문대로 113,"(35.1878455, 126.8628662)"
401,광주북문대로점,광주 북구 북문대로 144,"(35.1878455, 126.8628662)"
402,광주매곡점,광주 북구 설죽로 319,"(35.1931659, 126.8987035)"
403,광주일곡점,광주 북구 설죽로 518,"(35.2055721, 126.897942)"
404,광주양산점,광주 북구 양산로 54,"(35.2019437, 126.8858752)"
405,광주용봉지구점,광주 북구 용봉택지로 39,"(35.1785714, 126.892942)"
406,전남대점,광주 북구 우치로 114,"(35.2073395, 126.9013461)"
407,전남대중앙점,광주 북구 우치로90번길 11,"(35.175661, 126.9133493)"
408,광주첨단2지구점,광주 북구 첨단연신로108번길 31-19,"(35.2087007, 126.8648043)"
409,광주금호지구점,광주 서구 금화로 90,"(35.1319405, 126.8585485)"
410,씨지브이광주터미널점,광주 서구 무진대로 904,"(35.1599315, 126.8825909)"
411,광주광천점,광주 서구 무진대로 919,"(0.0, 0.0)"
412,광주518공원점,광주 서구 상무민주로 90,"(35.152503, 126.8582896)"
413,광주평화방송점,광주 서구 상무시민로 75,"(35.155381, 126.8469454)"
414,광주평화공원점,광주 서구 상무연하로 75,"(35.1549725, 126.849891)"
415,광주상무타임스타워점,광주 서구 상무중앙로 58,"(35.15209035, 126.8488843)"
416,광주상무역점,광주 서구 상무중앙로 9,"(35.14777755, 126.847903)"
417,광주치평점,광주 서구 시청로 27,"(35.1561494, 126.8512337)"
418,광주시청로점,광주 서구 시청로60번길 21-9,"(35.1546395, 126.8538729)"
419,광주화정점,광주 서구 월드컵4강로68번길 1,"(35.1433808, 126.8748647)"
420,광주풍암점,광주 서구 풍암2로 2,"(35.1274572, 126.8793522)"
421,광주동천점,광주 서구 하남대로 668,"(35.171855, 126.8672821)"
422,대구앞산점,대구 남구 대명남로 193,"(35.83491, 128.5687085)"
423,대구대명점,대구 남구 대명로 89,"(35.8402271, 128.5799587)"
424,계명대점,대구 달서구 계대동문로 14,"(35.8554816, 128.4998643)"
425,홈플러스성서점,대구 달서구 달구벌대로 1467,"(35.849362, 128.5287227)"
426,대구죽전점,대구 달서구 달구벌대로 1525,"(35.8530685, 128.4761462)"
427,대구두류점,대구 달서구 달구벌대로 1704,"(35.8530685, 128.4761462)"
428,대구성서모다점,대구 달서구 달서대로 431,"(35.8132605, 128.5118292)"
429,대구상인서로점,대구 달서구 상인서로 103-6,"(35.8125538, 128.5462044)"
430,대구감삼DI점,대구 달서구 와룡로 130,"(35.83509, 128.53693)"
431,대구용산점,대구 달서구 용산로 236,"(35.848186, 128.530687)"
432,대구상인점,대구 달서구 월곡로 269-1,"(35.82206, 128.53402)"
433,대구서부정류장점,대구 달서구 월배로 479,"(35.835938, 128.556038)"
434,대구이곡점,대구 달서구 이곡공원로 24,"(35.85529, 128.5126539)"
435,대구월성점,대구 달서구 조암로 29,"(0.0, 0.0)"
436,대구진천점,대구 달서구 진천로 72,"(35.8108825, 128.5258643)"
437,대구죽곡점,대구 달성군 다사읍 달구벌대로,"(35.8546797, 128.4368419)"
438,대구세천점,대구 달성군 다사읍 세천로,"(35.8738805, 128.4745222)"
439,대구옥포점,대구 달성군 옥포읍 돌미로2서길,"(35.7777843, 128.4374274)"
440,대구테크노폴리스점,대구 달성군 유가읍 테크노상업로,"(35.6935504, 128.4585142)"
441,대구화원점,대구 달성군 화원읍 비슬로,"(35.8059832, 128.5057059)"
442,대구동호점,대구 동구 금강로 16,"(35.8532565, 128.7408231)"
443,동대구역사점,대구 동구 동대구로 550,"(35.8791851, 128.6283056)"
444,동대구터미널점,대구 동구 동부로 149,"(35.8773339, 128.6295948)"
445,대구율하점,대구 동구 안심로22길 48,"(35.8634131, 128.6981504)"
446,대구신서점,대구 동구 이노밸리로 305,"(0.0, 0.0)"
447,대구이시아폴리스점,대구 동구 팔공로 263,"(35.9070043, 128.6405238)"
448,대구구암점,대구 북구 구암로 136,"(35.9448731, 128.5756839)"
449,경북대점,대구 북구 대학로 85-1,"(35.89152, 128.6074806)"
450,대구복현네거리점,대구 북구 동북로 291,"(35.8953929, 128.6177875)"
451,홈플러스칠곡점,대구 북구 동암로12길 8,"(35.9453328, 128.5554878)"
452,대구대현점,대구 북구 신암로 111,"(35.8739104, 128.6051309)"
453,대구칠성점,대구 북구 옥산로 95,"(0.0, 0.0)"
454,대구태전점,대구 북구 칠곡중앙대로 393,"(35.9055825, 128.5471846)"
455,대구보건대점,대구 북구 칠곡중앙대로69길 15-14,"(35.927095, 128.5470882)"
456,대구침산점,대구 북구 침산로 124,"(35.893911, 128.589774)"
457,대구칠곡점,대구 북구 학정로 440,"(35.9334854, 128.561837)"
458,대구금호점,대구 북구 한강로 52-1,"(0.0, 0.0)"
459,대구평리점,대구 서구 서대구로 91,"(35.8816552, 128.5553203)"
460,대구수성4가점,대구 수성구 달구벌대로 2297,"(35.8354755, 128.721367)"
461,대구범어점,대구 수성구 달구벌대로 2379,"(35.8354755, 128.721367)"
462,수성구청역점,대구 수성구 달구벌대로 2518,"(35.8354755, 128.721367)"
463,대구만촌네거리점,대구 수성구 달구벌대로 2600,"(35.8354755, 128.721367)"
464,대구시지점,대구 수성구 달구벌대로 3214,"(35.8354755, 128.721367)"
465,대구사월역점,대구 수성구 달구벌대로 3280,"(0.0, 0.0)"
466,대구황금점,대구 수성구 동대구로 95,"(0.0, 0.0)"
467,대구만촌점,대구 수성구 동원로 135,"(0.0, 0.0)"
468,대구수성3가점,대구 수성구 명덕로 468,"(35.8537749, 128.6253739)"
469,대구수성1가점,대구 수성구 수성로69길 41,"(0.0, 0.0)"
470,대구수성못점,대구 수성구 수성못길 14,"(35.8277462, 128.6218398)"
471,대구범물점,대구 수성구 지범로 180,"(35.8198075, 128.64172)"
472,대구황금캐슬점,대구 수성구 청수로 202,"(35.8389945, 128.6299437)"
473,대구동성로점,대구 중구 국채보상로 593,"(35.8710571, 128.595485)"
474,대구반월당점,대구 중구 달구벌대로 지하,"(0.0, 0.0)"
475,대구동성로2가점,대구 중구 동성로 18,"(35.8699696, 128.5972204)"
476,대구타운,대구 중구 동성로5길 33,"(35.8673876, 128.5977543)"
477,대구대백점,대구 중구 동성로6길 22,"(35.8686859, 128.5975878)"
478,대구명덕역점,대구 중구 중앙대로 267,"(35.8647807, 128.5933632)"
479,대구중앙로점,대구 중구 중앙대로 388,"(35.8647807, 128.5933632)"
480,대구아카데미점,대구 중구 중앙대로 412-17,"(35.86999435, 128.5948127)"
481,대전송촌점,대전 대덕구 계족산로81번길 64,"(36.3641938, 127.4400204)"
482,대전우송대점,대전 동구 동대전로 161,"(36.3294409, 127.4428334)"
483,대전성남점,대전 동구 동서대로 1688,"(36.3432453, 127.4256936)"
484,대전터미널점,대전 동구 동서대로1695번길 30,"(36.351459, 127.4373786)"
485,대전가오점,대전 동구 은어송로 57,"(36.3076999, 127.4578774)"
486,패션아일랜드대전점,대전 동구 은어송로 72,"(36.3076999, 127.4578774)"
487,한남대점,대전 동구 한남로 7,"(36.3511646, 127.4263507)"
488,대전갈마점,대전 서구 갈마중로 12,"(36.3476493, 127.3723185)"
489,대전용문역점,대전 서구 계룡로 624,"(36.3425442, 127.3868811)"
490,대전가수원점,대전 서구 계백로 1149,"(36.3088924, 127.3680561)"
491,대전관저점,대전 서구 관저동로73번길 6,"(36.2980755, 127.3396107)"
492,대전관저네거리점,대전 서구 관저중로 98,"(36.3010476, 127.335229)"
493,대전은하수점,대전 서구 대덕대로 198,"(36.3744069, 127.3797354)"
494,갤러리아타임월드점,대전 서구 대덕대로 211,"(36.3744069, 127.3797354)"
495,대전둔산로점,대전 서구 대덕대로233번길 36,"(36.3536116, 127.3781046)"
496,대전목원대점,대전 서구 도안북로93번길 11,"(0.0, 0.0)"
497,대전시청역점,대전 서구 둔산로 142,"(36.3513068, 127.3837964)"
498,대전타운,대전 서구 둔산로 26,"(0.0, 0.0)"
499,대전탄방점,대전 서구 문정로 77,"(36.347176, 127.387949)"
500,대전초록마을점,대전 서구 복수동로 60-1,"(36.296188, 127.3760687)"
501,대전월평역점,대전 서구 월평로 60,"(36.3561828, 127.3630467)"
502,대전정부청사점,대전 서구 청사로 234,"(36.3598379, 127.3813509)"
503,대전월평점,대전 서구 청사서로 36,"(0.0, 0.0)"
504,대전유성터미널점,대전 유성구 계룡로52번길 11,"(36.3529659, 127.3358741)"
505,대전관평점,대전 유성구 관평2로 48,"(36.42273295, 127.3885395)"
506,대전유성온천역점,대전 유성구 대학로 11,"(36.3620079, 127.3576413)"
507,대전봉명점,대전 유성구 대학로 60,"(36.3620079, 127.3576413)"
508,충남대점,대전 유성구 대학로151번길 35,"(36.3617742, 127.3501613)"
509,대전상대점,대전 유성구 도안대로 511-7,"(36.3516774, 127.3408607)"
510,대전반석점,대전 유성구 반석로 24,"(36.3903595, 127.3059596)"
511,대전신성점,대전 유성구 신성남로 43,"(36.3867391, 127.3498804)"
512,대전전민점,대전 유성구 유성대로 1736-1,"(36.3945715, 127.3514329)"
513,대전노은역점,대전 유성구 은구비남로33번길 29,"(0.0, 0.0)"
514,대전죽동점,대전 유성구 죽동로297번길 76,"(36.3695075, 127.3382232)"
515,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123,"(36.42346675, 127.3992723)"
516,홈플러스유성점,대전 유성구 한밭대로 502,"(36.3604106, 127.3498065)"
517,홈플러스대전문화점,대전 중구 계백로 1690,"(36.3202932, 127.4076533)"
518,대전세이점,대전 중구 계백로 1700,"(36.3205518, 127.408793)"
519,서대전네거리점,대전 중구 계백로 1715,"(36.3189915, 127.3997268)"
520,대전목동점,대전 중구 목중로 9,"(0.0, 0.0)"
521,서대전역점,대전 중구 오류로 19,"(36.3298236, 127.401948)"
522,대전중앙지하상가점,대전 중구 중앙로 지하,"(0.0, 0.0)"
523,대전은행동점,대전 중구 중앙로156번길 25,"(36.3276633, 127.4286391)"
524,대전중앙점,대전 중구 중앙로164번길 8,"(36.3284149, 127.4282064)"
525,대전태평점,대전 중구 태평로 71,"(36.3287469, 127.3961888)"
526,스타필드시티명지점,부산 강서구 명지국제6로 168,"(35.0943386, 128.9213394)"
527,명지국제신도시점,부산 강서구 명지국제8로 260,"(35.0982889, 128.917851)"
528,명지오션시티점,부산 강서구 69,"(35.1526783, 128.8817806)"
529,부산아트몰링점,부산 사하구 낙동남로 1413,"(35.1062767, 128.9685201)"
530,하단중앙점,부산 사하구 낙동남로 1417,"(35.1062767, 128.9685201)"
531,부산동아대점,부산 사하구 낙동대로 551,"(35.1037196, 129.0034084)"
532,부산다대포점,부산 사하구 다대로 698,"(35.0993898, 128.9771601)"
533,강남우성점,서울 강남구 강남대로 320,"(0.0, 0.0)"
534,강남타운,서울 강남구 강남대로 372,"(37.5111721, 127.0213861)"
535,강남교보사거리점,서울 강남구 강남대로 456,"(37.5032213, 127.0255351)"
536,신논현역점,서울 강남구 강남대로 480,"(37.5111721, 127.0213861)"
537,양재스타클래스점,서울 강남구 남부순환로 2615,"(37.4979579, 127.0846934)"
538,대치역점,서울 강남구 남부순환로 2927,"(37.49370365, 127.0604139)"
539,남역삼점,서울 강남구 논현로 318,"(0.0, 0.0)"
540,포이사거리점,서울 강남구 논현로 82,"(37.5272651, 127.0283095)"
541,압구정타운점,서울 강남구 논현로 842,"(0.0, 0.0)"
542,압구정역점,서울 강남구 논현로 878,"(0.0, 0.0)"
543,압구정점,서울 강남구 논현로175길 6,"(37.5243164, 127.0241243)"
544,대치점,서울 강남구 도곡로 448,"(0.0, 0.0)"
545,신사점,서울 강남구 도산대로 116,"(0.0, 0.0)"
546,가로수길타운,서울 강남구 도산대로 133,"(37.5181047, 127.0240811)"
547,학동중앙점,서울 강남구 도산대로 326,"(37.5181047, 127.0240811)"
548,청담사거리점,서울 강남구 도산대로89길 8,"(0.0, 0.0)"
549,수서역점,서울 강남구 밤고개로1길 10,"(37.4880133, 127.1018308)"
550,언주역점,서울 강남구 봉은사로 209,"(37.5153694, 127.0665939)"
551,청담역점,서울 강남구 삼성로 716,"(37.5067233, 127.0566608)"
552,한티역점,서울 강남구 선릉로 312,"(37.5290401, 127.041123)"
553,선릉역점,서울 강남구 선릉로 513,"(37.5290401, 127.041123)"
554,선정릉역점,서울 강남구 선릉로 602,"(37.5106348, 127.0440021)"
555,강남구청역점,서울 강남구 선릉로 703,"(37.5176744, 127.0408347)"
556,압구정로데오점,서울 강남구 압구정로50길 9,"(37.5273631, 127.0380087)"
557,타워팰리스점,서울 강남구 언주로30길 39,"(0.0, 0.0)"
558,봉은사역점,서울 강남구 영동대로 602,"(37.5092189, 127.0631384)"
559,일원역점,서울 강남구 일원로 115,"(0.0, 0.0)"
560,역삼점,서울 강남구 테헤란로 115,"(0.0, 0.0)"
561,역삼역점,서울 강남구 테헤란로 138,"(37.5086744, 127.0629003)"
562,강남파이낸스점,서울 강남구 테헤란로 152,"(37.5000673, 127.0366267)"
563,선릉아이타워점,서울 강남구 테헤란로 326,"(37.5086744, 127.0629003)"
564,선릉타운점,서울 강남구 테헤란로 411,"(0.0, 0.0)"
565,삼성점,서울 강남구 테헤란로108길 22,"(37.5083052, 127.0661245)"
566,강남시티점,서울 강남구 테헤란로1길 30,"(0.0, 0.0)"
567,강남역센트럴점,서울 강남구 테헤란로4길 6,"(37.4968648, 127.0302159)"
568,선릉로점,서울 강남구 테헤란로64길 20,"(0.0, 0.0)"
569,코엑스몰점,서울 강남구 테헤란로87길 22,"(37.508357, 127.0591186)"
570,학동역점,서울 강남구 학동로 177,"(0.0, 0.0)"
571,세곡동점,서울 강남구 헌릉로569길 21-36,"(37.4670378, 127.0978252)"
572,상일동역점,서울 강동구 고덕로 399,"(37.5547286, 127.1364591)"
573,고덕점,서울 강동구 동남로75길 13-15,"(0.0, 0.0)"
574,상일동점,서울 강동구 상일로10길 36,"(0.0, 0.0)"
575,강동구청점,서울 강동구 성내로 19,"(37.52893, 127.12503)"
576,강일동점,서울 강동구 아리수로 423,"(37.5598235, 127.1453151)"
577,둔촌점,서울 강동구 양재대로 1317,"(0.0, 0.0)"
578,길동역점,서울 강동구 양재대로 1481,"(37.5340323, 127.1385781)"
579,홈플러스강동점,서울 강동구 양재대로 1571,"(37.5458064, 127.1421)"
580,명일역점,서울 강동구 양재대로 1637,"(37.5340323, 127.1385781)"
581,천호현대점,서울 강동구 올림픽로 664,"(37.5408112, 127.1246252)"
582,암사역점,서울 강동구 올림픽로 769,"(0.0, 0.0)"
583,천호중앙점,서울 강동구 1027 일동빌딩,"(0.0, 0.0)"
584,길동사거리점,서울 강동구 1120,"(37.53, 127.1237)"
585,천호엔터식스점,서울 강동구 지하 997,"(0.0, 0.0)"
586,미아역점,서울 강북구 도봉로 188,"(37.6128166, 127.0302125)"
587,미아점,서울 강북구 도봉로 242,"(37.6128166, 127.0302125)"
588,수유타운,서울 강북구 도봉로 336,"(37.6128166, 127.0302125)"
589,미아사거리점,서울 강북구 도봉로 45,"(37.6128166, 127.0302125)"
590,수유역점,서울 강북구 도봉로87길 8,"(37.6387273, 127.0240166)"
591,우장산역점,서울 강서구 강서로 253,"(37.5484292, 126.8360806)"
592,발산점,서울 강서구 강서로 360,"(37.5596089, 126.838587)"
593,발산역점,서울 강서구 강서로 385,"(37.5596089, 126.838587)"
594,까치산역점,서울 강서구 강서로13길 3,"(37.5318519, 126.8453269)"
595,NC강서점,서울 강서구 강서로56길 17,"(37.5596199, 126.838934)"
596,마곡역점,서울 강서구 공항대로 168,"(37.5612563, 126.8124407)"
597,송정역점,서울 강서구 공항대로 28,"(37.5612563, 126.8124407)"
598,염창역점,서울 강서구 공항대로 637,"(37.5612563, 126.8124407)"
599,방화역점,서울 강서구 금낭화로 292,"(37.5761896, 126.8122948)"
600,마곡나루역점,서울 강서구 마곡서로 152,"(0.0, 0.0)"
601,신방화역점,서울 강서구 방화대로 294,"(37.56696495, 126.8169494)"
602,양천향교역점,서울 강서구 양천로 344,"(37.5733429, 126.8165938)"
603,홈플러스가양점,서울 강서구 양천로 431,"(37.5642532, 126.8500609)"
604,가양역점,서울 강서구 양천로 476,"(0.0, 0.0)"
605,증미역점,서울 강서구 양천로 583,"(0.0, 0.0)"
606,김포공항점,서울 강서구 하늘길 38,"(0.0, 0.0)"
607,화곡역점,서울 강서구 화곡로 149,"(0.0, 0.0)"
608,강서구청점,서울 강서구 화곡로 316,"(37.55856, 126.85378)"
609,홈플러스강서점,서울 강서구 화곡로 398,"(37.5585333, 126.8549185)"
610,사당역점,서울 관악구 과천대로 941,"(0.0, 0.0)"
611,관악타운,서울 관악구 관악로 171,"(37.4673034, 126.9494116)"
612,관악로점,서울 관악구 관악로 204,"(37.4673034, 126.9494116)"
613,신대방역점,서울 관악구 난곡로 357,"(37.4683168, 126.9201938)"
614,신림남부순환로점,서울 관악구 남부순환로 1377,"(37.4821264, 126.9483318)"
615,신림역점,서울 관악구 남부순환로 1619,"(37.4821264, 126.9483318)"
616,봉천역점,서울 관악구 남부순환로 1735,"(37.4821264, 126.9483318)"
617,서울대입구역점,서울 관악구 남부순환로 1838,"(37.4821264, 126.9483318)"
618,낙성대점,서울 관악구 남부순환로 1909,"(37.478068, 126.9615763)"
619,낙성대인헌점,서울 관악구 남부순환로248길 3,"(37.4757654, 126.9658627)"
620,구로디지털단지역점,서울 관악구 시흥대로 574,"(37.4789821, 126.8990736)"
621,녹두거리점,서울 관악구 신림로 127,"(37.4678717, 126.9475088)"
622,신림로점,서울 관악구 신림로 315,"(37.4678717, 126.9475088)"
623,포도몰점,서울 관악구 신림로 330,"(37.48377515, 126.9301443)"
624,신림점,서울 관악구 신림로 353,"(37.4678717, 126.9475088)"
625,강변역점,서울 광진구 강변역로4길 10,"(37.53441, 127.09268)"
626,강변엔터식스점,서울 광진구 광나루로56길 85,"(0.0, 0.0)"
627,건대점,서울 광진구 능동로 133,"(37.5340314, 127.0678046)"
628,뚝섬유원지역점,서울 광진구 능동로 7,"(37.5378419, 127.0687007)"
629,건대입구점,서울 광진구 동일로22길 115,"(37.5416499, 127.0674994)"
630,중곡점,서울 광진구 면목로 127,"(37.5671595, 127.0819519)"
631,스타시티점,서울 광진구 아차산로 272,"(0.0, 0.0)"
632,구의역점,서울 광진구 아차산로 378,"(0.0, 0.0)"
633,올림픽대교북단점,서울 광진구 아차산로 484,"(37.538847, 127.0919729)"
634,광장점,서울 광진구 아차산로 537-17,"(0.0, 0.0)"
635,광나루역점,서울 광진구 아차산로 607,"(37.538847, 127.0919729)"
636,건대몰오브케이점,서울 광진구 아차산로30길 26,"(0.0, 0.0)"
637,군자역점,서울 광진구 548 중앙빌딩,"(0.0, 0.0)"
638,아차산역점,서울 광진구 671,"(37.5384, 127.0828)"
639,신도림점,서울 구로구 경인로 661,"(37.5044962, 126.8818819)"
640,디큐브시티점,서울 구로구 경인로 662,"(0.0, 0.0)"
641,오류동역점,서울 구로구 경인로20길 4,"(37.4958874, 126.843552)"
642,개봉역북부점,서울 구로구 경인로40길 41,"(0.0, 0.0)"
643,NC신구로점,서울 구로구 구로중앙로 152,"(37.502715, 126.8800694)"
644,구일역점,서울 구로구 구일로10길 49,"(0.0, 0.0)"
645,구로호텔점,서울 구로구 디지털로32길 72,"(0.0, 0.0)"
646,구로디지털점,서울 구로구 디지털로34길 43,"(0.0, 0.0)"
647,신도림테크노마트점,서울 구로구 새말로 97,"(37.5055354, 126.8900335)"
648,천왕역점,서울 구로구 오류로 20,"(37.4879079, 126.8396875)"
649,가산점,서울 금천구 가산디지털1로 171,"(37.4789274, 126.8822324)"
650,은행나무사거리점,서울 금천구 금하로 705,"(37.45155105, 126.9083174)"
651,가산더블유몰점,서울 금천구 디지털로 188,"(37.4773613, 126.887711)"
652,현대아울렛가산점,서울 금천구 디지털로10길 9,"(37.4769457, 126.8888314)"
653,가산디지털단지역점,서울 금천구 벚꽃로 286,"(37.4576832, 126.893558)"
654,홈플러스시흥점,서울 금천구 시흥대로 201,"(37.4514157, 126.9006328)"
655,시흥사거리점,서울 금천구 시흥대로 228,"(37.45420385, 126.9012383)"
656,홈플러스금천점,서울 금천구 시흥대로 391,"(37.4682281, 126.8968206)"
657,롯데마트중계점,서울 노원구 노원로 330,"(37.6573, 127.06643)"
658,노원역사거리점,서울 노원구 노해로 480,"(0.0, 0.0)"
659,노원공릉점,서울 노원구 동일로 1083,"(37.6175709, 127.075671)"
660,중계역점,서울 노원구 동일로 1335,"(37.6175709, 127.075671)"
661,수락산역점,서울 노원구 동일로 1678,"(37.6485644, 127.0644638)"
662,공릉역점,서울 노원구 동일로192길 74,"(37.6270969, 127.0770156)"
663,홈플러스중계점,서울 노원구 동일로204가길 12,"(37.6398415, 127.0686016)"
664,노원점,서울 노원구 상계로 65,"(37.6703649, 127.0793755)"
665,광운대역점,서울 노원구 석계로 102,"(37.6149158, 127.0647959)"
666,석계역점,서울 노원구 석계로1길 14,"(37.6156104, 127.0619998)"
667,은행사거리점,서울 노원구 한글비석로 264,"(37.6335072, 127.064282)"
668,상계보람점,서울 노원구 한글비석로 471,"(37.6335072, 127.064282)"
669,창동역점,서울 도봉구 노해로63길 84-16,"(37.6518612, 127.0423351)"
670,쌍문점,서울 도봉구 도당로 2,"(37.6604785, 127.034897)"
671,쌍문역점,서울 도봉구 도봉로 480,"(37.6620125, 127.042384)"
672,홈플러스방학점,서울 도봉구 도봉로 678,"(37.6620125, 127.042384)"
673,방학역점,서울 도봉구 도봉로150길 28,"(37.6660397, 127.044596)"
674,창동점,서울 도봉구 마들로11길 57,"(37.6538032, 127.0506357)"
675,덕성여대점,서울 도봉구 삼양로144길 17,"(37.6523769, 127.0142403)"
676,경희대점,서울 동대문구 경희대로 2,"(37.5926082, 127.0525222)"
677,답십리역점,서울 동대문구 고미술로 81,"(37.5671655, 127.0532996)"
678,휘경동점,서울 동대문구 망우로 78,"(0.0, 0.0)"
679,청량리역사점,서울 동대문구 왕산로 214,"(0.0, 0.0)"
680,신설동역점,서울 동대문구 왕산로 4,"(37.5811037, 127.0484524)"
681,외대정문점,서울 동대문구 이문로 107,"(37.59708145, 127.0587413)"
682,회기타운,서울 동대문구 이문로 30,"(37.60134, 127.06205)"
683,장안동사거리점,서울 동대문구 장한로 129,"(37.5787324, 127.0722115)"
684,장한평역점,서울 동대문구 장한로 3,"(37.5622395, 127.0650144)"
685,서울시립대점,서울 동대문구 전농로 222,"(37.58396795, 127.05363)"
686,노량진삼거리점,서울 동작구 노량진로 124,"(37.5127724, 126.9524964)"
687,노량진타운,서울 동작구 노량진로 162,"(37.5127724, 126.9524964)"
688,사당점,서울 동작구 동작대로 29,"(0.0, 0.0)"
689,사당역지하상가점,서울 동작구 동작대로 지하,"(0.0, 0.0)"
690,신대방삼거리역점,서울 동작구 보라매로 113,"(37.4961, 126.9276662)"
691,보라매점,서울 동작구 보라매로5가길 16,"(37.4916114, 126.9246859)"
