,name,도로명주소,브랜드,latlon
95,부산안락DT,부산광역시 동래구 충렬대로 446 (안락동),스타벅스,"(35.1958904040062, 129.106880725779)"
96,동래미남DT,부산광역시 동래구 충렬대로 101 (온천동),스타벅스,"(35.2071684628179, 129.07204783091)"
97,부산사직,부산광역시 동래구 사직북로 24 (사직동),스타벅스,"(35.1979717396496, 129.060539315933)"
98,부산온천장역,"부산광역시 동래구 중앙대로 1523, SK허브스카이위아아파트 1층 (온천동)",스타벅스,"(35.2212896964575, 129.08557677639)"
99,부산동래,부산광역시 동래구 충렬대로 194 (명륜동),스타벅스,"(35.2029160360188, 129.080986296242)"
100,동래허심청,부산광역시 동래구 온천장로107번길 32 (온천동) 1층,스타벅스,"(35.2211550981779, 129.082686623437)"
101,부산송도해수욕장,"부산광역시 서구 송도해변로 97(101,102,201) (암남동)",스타벅스,"(35.0772275861327, 129.017845481106)"
102,부민사거리,부산광역시 서구 구덕로 212 (부민동1가),스타벅스,"(35.1035935290696, 129.020259698374)"
103,부산동대신역,부산광역시 서구 구덕로322번길 7 (동대신동3가),스타벅스,"(35.1126452473551, 129.016735735098)"
104,동아대병원,부산광역시 서구 동대로 8 (동대신동3가),스타벅스,"(35.1194194692682, 129.01715840288)"
105,더해운대R,"부산광역시 해운대구 해운대해변로 197 (우동, 해운대경동제이드아파트)",스타벅스,"(35.158802549379, 129.152836637292)"
106,수영강변DT,부산광역시 해운대구 수영강변대로 516 (반여동),스타벅스,"(35.2039338607245, 129.119387342464)"
107,센텀파크,"부산광역시 해운대구 센텀중앙로 145 (재송동, 더샵센텀파크1차아파트)",스타벅스,"(35.1767570378219, 129.123591937256)"
108,해운대역,부산광역시 해운대구 구남로 9 (우동),스타벅스,"(35.1633069847366, 129.159614124407)"
109,부산재송DT,부산광역시 해운대구 해운대로 189 (재송동),스타벅스,"(35.1812444744102, 129.123977507105)"
110,해운대,부산광역시 해운대구 구남로 49 (중동) 101호,스타벅스,"(35.1601601914016, 129.162174768232)"
111,센텀로,부산광역시 해운대구 센텀2로 10 (우동) 센텀메디컬센타 1층 스타벅스 센텀로점,스타벅스,"(35.1678303309299, 129.131522464341)"
112,센텀신세계B1,부산광역시 해운대구 센텀남대로 35 (우동) 센텀시티 신세계UEC,스타벅스,"(35.1688178394069, 129.129523260187)"
113,해운대달맞이DT,부산광역시 해운대구 달맞이길 57 (중동) 1~3층,스타벅스,
114,센텀그린타워,부산광역시 해운대구 센텀중앙로 78 (우동),스타벅스,"(35.1746227393945, 129.127007076781)"
115,부산송정비치,부산광역시 해운대구 송정해변로 36 (송정동),스타벅스,"(35.1807275181, 129.2022558791)"
116,장산역,부산광역시 해운대구 해운대로 802 (좌동),스타벅스,"(35.1691555499786, 129.176665611527)"
117,하버타운,부산광역시 해운대구 해운대해변로 257 (우동),스타벅스,"(35.1596847186859, 129.159515044855)"
118,벡스코,"부산광역시 해운대구 APEC로 55, 벡스코내 (우동)",스타벅스,"(35.1690637154991, 129.136018268316)"
119,베네시티,부산광역시 해운대구 해운대해변로 163 (우동),스타벅스,"(35.1581691082817, 129.150728404706)"
120,팔레드시즈,"부산광역시 해운대구 해운대해변로298번길 24, 팔래드시즈 1-3호 (중동)",스타벅스,"(35.160201591128, 129.166579258799)"
121,블루스퀘어,부산광역시 해운대구 좌동로 96 (좌동),스타벅스,"(35.1722811210975, 129.175614056554)"
122,센텀시티역,"부산광역시 해운대구 센텀동로 9, 트럼프월드센텀아파트 1층 (우동)",스타벅스,"(35.1698704966296, 129.132455662366)"
123,제니스스퀘어,"부산광역시 해운대구 마린시티2로 33, 제니스스퀘어 (우동)",스타벅스,"(35.1572036560166, 129.144817207267)"
124,마린시티아이파크,부산광역시 해운대구 마린시티2로 38 (우동),스타벅스,"(35.157037795554, 129.143328681551)"
125,해운대달맞이,부산광역시 해운대구 달맞이길 189 (중동),스타벅스,"(35.1579136940403, 129.182297074709)"
126,해운대이마트,부산광역시 해운대구 좌동순환로 511 (중동) 1층,스타벅스,"(35.1660208153462, 129.167373764158)"
127,센텀드림월드,"부산광역시 해운대구 센텀2로 25, 센텀드림월드 1층 (우동)",스타벅스,"(35.1669483088462, 129.132959320724)"
128,센텀KNN,부산광역시 해운대구 센텀서로 30 (우동),스타벅스,"(35.1720591571479, 129.128432630796)"
129,월드마크센텀,"부산광역시 해운대구 센텀동로 25, 1층 (우동)",스타벅스,"(35.1719091709265, 129.131436572074)"
130,해운대NC,부산광역시 해운대구 해운대로 813 (좌동),스타벅스,"(35.1705360467282, 129.177049101754)"
131,해운대좌동,부산광역시 해운대구 좌동순환로 178 (좌동),스타벅스,"(35.1774991819064, 129.175522331017)"
132,해운대 엑스더스카이,부산광역시 해운대구 달맞이길30 ,스타벅스,"(35.1613327099223, 129.168013841974)"
133,센텀신세계3F,부산광역시 해운대구 센텀남대로 35 (우동),스타벅스,"(35.1688178394069, 129.129523260187)"
134,해운대중동역,부산광역시 해운대구 좌동순환로 6 (중동),스타벅스,"(35.1672265004293, 129.168055541782)"
135,센텀몰1F,부산광역시 해운대구 센텀4로 15 (우동),스타벅스,"(35.1698614224623, 129.12829006113)"
136,그랜드조선 부산,부산광역시 해운대구 해운대해변로 292 (중동),스타벅스,"(35.1600663074705, 129.163127599383)"
